UniprotKB,r,theta,DC,CC,BC,EC,idr,nucleus,cytoplasm,endomembrane,multi
Q9Y5Q3,18.75736645,4.652651362,8,1.89E-05,1960.090293,0.00351357,0,0,0,0,1
Q9Y6H3,18.62060434,2.382312194,11,1.94E-05,1127.352313,0.00380843,0,0,0,0,1
O95395,18.88080528,3.1290009,6,1.93E-05,636.307213,0.00393557,0,0,0,1,0
P12694,17.98905302,2.370868062,26,2.09E-05,20958.54113,0.01485708,0,0,0,0,0
P25685,16.82782354,4.546697557,60,2.37E-05,31033.88216,0.0704131,0,1,0,0,0
Q08380,15.93414508,4.649441737,96,2.38E-05,82161.83501,0.09666094,0,0,0,0,0
Q5VZV1,19.08932904,4.008531282,2,1.73E-05,7.37831835,0.00083609,0,0,0,0,0
Q86X76,17.48937581,2.387046181,39,2.03E-05,26906.43043,0.00719404,0,0,1,0,0
Q8N3J5,18.49098475,2.370008143,14,1.96E-05,2523.417815,0.00429077,0,0,1,0,0
Q52LJ0,18.75989806,5.352483591,8,2.05E-05,239.507548,0.02303001,0,0,0,0,1
O14879,17.25965899,6.245067976,46,2.17E-05,36513.9354,0.05490821,0,0,1,0,0
O14979,16.50911781,5.466227447,72,2.31E-05,43663.15361,0.10280156,0,1,0,0,0
P01563,18.66283959,6.007015746,10,1.86E-05,8093.481335,0.00237559,0,0,0,0,0
P01568,18.01319311,2.627117992,25,1.90E-05,46815.34375,0.00220446,0,0,0,0,0
P01570,18.76000798,5.994556331,8,1.78E-05,3471.454238,0.00174012,0,0,0,0,0
P06753,16.43481241,0.081814845,75,2.37E-05,57109.91051,0.07593892,0,0,1,0,0
P08579,17.27306154,6.25046651,45,2.20E-05,5897.539144,0.05588034,0,0,0,0,1
P08621,14.82235241,6.235543789,172,2.37E-05,62950.07324,0.20000279,1,1,0,0,0
P09913,17.44980373,6.245600546,40,2.09E-05,4436.816897,0.04312506,0,0,0,1,0
P09914,17.33530843,6.245543914,43,2.10E-05,24214.13562,0.03736449,0,0,1,0,0
P10599,17.17634749,6.162038055,48,2.36E-05,21868.20011,0.08018909,0,0,0,0,1
P32881,18.7601179,5.994507999,8,1.80E-05,1176.812676,0.00180552,0,0,0,0,0
P38159,16.39155747,6.068679361,77,2.28E-05,50915.30368,0.09237841,0,1,0,0,0
P50993,18.66416929,5.363082465,10,2.08E-05,2742.323285,0.01827632,0,0,0,0,0
P51991,16.91265185,5.516135571,57,2.39E-05,25487.97403,0.12756036,0,1,0,0,0
P62316,16.23901733,6.261815331,82,2.38E-05,28386.31055,0.12971048,0,0,1,0,0
Q12906,15.43433057,5.500260693,126,2.48E-05,71869.49086,0.23461823,0,0,0,0,1
Q13325,18.87267282,3.268143022,6,1.81E-05,329.7892485,0.00138061,0,0,0,1,0
Q5T764,18.87306625,6.24550671,6,1.80E-05,231.9682139,0.00139712,0,0,0,0,0
Q8IZ21,17.8147032,3.448366489,30,2.19E-05,14446.3146,0.03123691,0,0,0,0,1
Q99729,16.90789349,5.469186186,57,2.34E-05,35068.79396,0.1191923,0,1,0,0,0
Q8IXX5,19.11429107,2.207346332,2,1.68E-05,23.39596701,0.0005822,0,0,0,0,1
O14880,17.64970936,2.261691381,34,2.11E-05,10450.36924,0.01410396,0,1,0,0,0
O60551,18.05432476,4.24724851,24,2.19E-05,25109.317,0.01813963,0,0,0,0,1
P45880,16.27903787,2.243848286,81,2.38E-05,46962.07227,0.07281147,0,0,1,0,0
P62834,17.57905628,3.464781196,36,2.24E-05,21232.8717,0.02719251,0,0,0,0,0
Q13405,17.60989138,2.713524035,35,2.24E-05,3574.281753,0.0542178,0,0,0,0,0
Q8NHG7,18.40678177,2.556140693,16,1.96E-05,6000.690886,0.00351664,0,0,0,0,0
Q99584,18.43411827,3.051177723,15,2.04E-05,4114.14479,0.00788538,0,0,0,0,1
Q9BYN8,16.30280894,2.696539427,80,2.26E-05,18018.03665,0.07763209,0,0,1,0,0
Q9NS69,16.99156324,2.260599618,55,2.27E-05,47971.50021,0.03411689,0,0,1,0,0
O14556,17.24948967,0.429654734,46,2.05E-05,92819.0244,0.00698529,0,0,0,0,1
O14893,17.36310047,6.237123764,42,2.23E-05,9618.952793,0.03723764,0,1,0,0,0
P57678,16.8661659,6.2387169,59,2.32E-05,27565.21159,0.06033241,0,0,0,0,1
P62308,16.05943472,6.257001762,91,2.31E-05,37486.36104,0.09465459,0,1,0,0,0
Q8WXD5,18.08491735,6.237320389,23,2.04E-05,5696.95263,0.01542515,0,1,0,0,0
Q9H840,18.00905588,6.237312266,25,2.06E-05,2080.045359,0.01442898,0,0,0,0,1
Q9NWZ8,18.32276638,6.237295218,18,1.96E-05,1093.935283,0.01001349,0,0,0,0,1
Q9NZQ3,17.301199,4.475392296,44,2.18E-05,18273.37761,0.02090037,0,0,0,1,0
Q9UGJ0,18.19920824,3.887179352,21,2.01E-05,1559.920808,0.00750674,0,1,0,0,0
Q9UHI6,17.04770796,6.239154761,53,2.32E-05,21099.65784,0.06177926,0,0,0,0,1
O14896,18.97523091,4.700118066,4,1.63E-05,440.5096831,0.00035872,0,0,0,0,1
P18428,18.94123308,1.63252777,5,1.75E-05,3415.360944,0.00064601,0,0,0,0,0
Q02556,18.43169095,4.699935061,15,2.04E-05,5774.096576,0.01614622,0,1,0,0,0
Q13568,18.04614184,5.808373106,24,2.14E-05,16542.69847,0.02115555,1,0,0,0,0
Q6ZN30,19.11087358,4.700128809,2,1.59E-05,178.8145107,0.00017012,0,1,0,0,0
O14901,18.88100044,4.499653912,6,2.01E-05,193.7542145,0.00709721,0,0,0,0,1
Q9H3K6,18.66102355,4.225606959,10,2.05E-05,910.3764404,0.01119079,0,1,0,0,0
O14905,18.91118461,2.694117577,5,1.96E-05,263.0948309,0.00363364,0,0,0,1,0
Q14202,17.53041975,6.133900952,38,2.27E-05,30369.21115,0.03633511,0,1,0,0,0
O14907,18.87718801,3.045204697,6,1.96E-05,325.4994665,0.00622079,0,0,0,0,1
Q86Y01,18.86556501,3.937897405,6,1.95E-05,403.613523,0.0046027,0,0,0,0,1
Q96JB5,17.53115756,2.831138448,38,2.27E-05,38357.9954,0.02744985,0,0,0,0,1
Q9BST9,18.8710976,3.045201716,6,1.97E-05,428.6532683,0.0042276,0,0,0,0,1
P08588,18.75493899,4.792393511,8,1.93E-05,1122.1759,0.00562534,0,0,0,0,0
P11166,17.80292092,2.519744975,30,2.28E-05,24982.20093,0.03084935,1,0,0,1,0
P22888,19.03228608,0.423404363,3,1.87E-05,2738.860157,0.00331996,0,0,0,0,1
P35462,18.66199251,4.42320647,10,1.99E-05,15860.19454,0.00553566,0,0,0,0,0
P49795,18.56541248,3.577352635,12,2.12E-05,2753.088349,0.0109468,0,0,0,0,1
Q01995,18.55335818,1.617511429,13,1.98E-05,1260.558093,0.00599709,0,0,0,0,1
Q03167,18.19748799,1.326431639,21,1.92E-05,4676.702783,0.00197259,0,0,1,0,0
Q16620,18.23780618,4.395753998,20,2.11E-05,16614.99456,0.01173104,1,0,0,1,0
Q6P996,17.59891212,3.263997454,35,2.08E-05,31076.7644,0.00748036,0,0,0,1,0
Q8NEU8,18.49270256,3.2369698,14,2.17E-05,4557.471195,0.01576563,0,0,0,0,1
Q8TF65,18.80083589,5.193127357,7,2.11E-05,1033.748785,0.01068309,0,0,0,0,1
Q9C0C4,18.56394683,2.500029672,12,2.17E-05,8874.50458,0.01233743,0,0,0,0,0
Q9HB19,18.80094147,3.392916251,7,1.94E-05,482.9698762,0.00470389,0,0,0,0,1
Q9NZN5,17.9541653,3.048474762,27,2.25E-05,9123.456139,0.03037844,0,0,0,0,1
Q9P0V3,17.80320305,3.432065061,30,2.19E-05,10997.46971,0.02553384,0,0,0,0,0
Q9UM54,16.42059788,0.160061723,75,2.28E-05,33262.78684,0.05571594,0,1,0,0,0
P17643,19.11615032,5.847657192,2,1.66E-05,21.86746902,0.00019918,0,0,0,1,0
Q8N1F7,17.53152627,0.835370749,38,2.26E-05,8493.440436,0.04354992,0,0,0,0,0
O14910,18.01456845,2.998149618,25,1.96E-05,4724.513453,0.00407367,0,0,0,0,0
O75970,18.02187228,3.392476403,25,2.19E-05,36347.7142,0.01808078,1,0,0,0,0
P33402,18.72272819,2.99667616,9,1.99E-05,870.3122574,0.00635273,0,0,0,0,0
Q02153,18.49427468,3.423466245,14,2.00E-05,3227.113388,0.0053862,0,0,1,0,0
Q13368,18.9105214,3.002708932,5,1.72E-05,167.6284438,0.00045867,0,0,0,0,1
Q13425,17.47778191,2.7727556,39,2.21E-05,28805.10143,0.01580612,0,0,0,0,1
Q14168,18.48998135,2.997601156,14,2.10E-05,6406.038204,0.0115673,0,0,0,0,0
Q5T2T1,18.40428812,2.994210276,16,2.17E-05,4487.575723,0.01390816,0,0,0,0,1
Q8N3R9,17.95925782,3.392513814,27,2.08E-05,38745.21258,0.00850752,0,0,0,0,1
