UniprotKB,r,theta,DC,CC,BC,EC,idr,nucleus,cytoplasm,endomembrane,multi
A0A0B4J2D5,18.06549687,2.377869969,24,1.99E-05,6448.841495,0.00698533,0,0,0,0,0
O14561,17.53447109,2.70699955,37,2.04E-05,6133.730028,0.0121529,0,0,0,0,1
O75306,17.08157151,2.351134298,51,2.31E-05,13437.28712,0.04415957,0,0,1,0,0
O75390,14.59048143,1.983556519,190,2.26E-05,155244.3621,0.06113381,0,0,1,0,0
O94925,17.33127529,2.354320589,43,2.19E-05,37038.34244,0.02032898,1,0,1,0,0
P08559,15.75789827,2.275818451,107,2.26E-05,48404.79634,0.05263814,0,0,1,0,0
P13073,15.32704231,2.760877103,134,2.34E-05,118396.9779,0.05423044,0,0,1,0,0
P20674,17.47076148,2.36951816,39,2.24E-05,13538.94827,0.02767008,0,0,0,0,0
P29084,15.78090134,4.993401055,105,2.31E-05,83893.38565,0.04887324,0,0,0,0,1
P30038,18.80715148,2.369856329,7,1.89E-05,339.1437704,0.00259873,1,0,1,0,0
P34897,16.29785055,1.977380196,80,2.34E-05,81735.53387,0.0641875,0,0,1,0,0
P48735,18.67283006,3.249597589,10,2.04E-05,2257.502183,0.00531698,0,0,1,0,0
Q07021,13.87333178,3.692121501,240,2.49E-05,475655.26,0.19146766,0,0,0,0,1
Q10713,16.59610778,2.369880441,69,2.16E-05,57437.9826,0.01843471,0,0,1,0,0
Q13011,16.61900519,2.375466665,68,2.21E-05,53993.33949,0.02347723,0,0,1,0,0
Q15118,16.8047068,2.743052696,61,2.17E-05,36137.14232,0.01651978,0,0,0,0,0
Q16836,18.76033769,2.377952526,8,1.93E-05,1072.231032,0.00275239,0,0,1,0,0
Q5JTZ9,17.31998734,2.73929981,44,2.19E-05,21651.50415,0.01876393,0,0,1,0,0
Q9BX68,18.22056236,1.983738705,20,1.99E-05,1436.344755,0.00705721,0,0,1,0,0
Q9H2U2,18.13190288,2.34609797,22,2.06E-05,8203.493262,0.01094902,0,0,1,0,0
Q9NWU5,17.93650871,2.718593416,27,2.03E-05,3086.734094,0.01743111,0,0,1,0,0
Q9Y2S7,17.34288313,2.377421557,43,2.20E-05,12346.69266,0.0263426,0,0,1,0,0
Q9Y696,18.79745144,2.377843889,7,1.68E-05,1500.426015,0.00051829,1,0,0,0,1
Q96DP5,18.92855702,2.378120992,5,1.62E-05,44.59773156,0.00032681,0,0,0,0,1
P11182,17.4648738,2.757699894,39,2.07E-05,33601.64449,0.01492661,0,0,1,0,0
Q8N5V2,18.44915897,0.231687063,15,1.96E-05,16901.03871,0.00422961,0,0,0,0,1
A0AV96,18.54129538,5.856040843,13,1.95E-05,258.5489265,0.00799961,0,0,0,0,1
O00425,16.35110477,5.696042094,78,2.32E-05,27681.06057,0.11557467,0,0,1,0,0
O00443,17.21483687,0.153675035,47,2.27E-05,12059.81161,0.04278579,0,0,0,0,1
P42694,17.83075239,5.693486188,30,2.24E-05,13439.70458,0.02618175,0,0,0,0,1
Q13315,15.77467929,3.27150176,106,2.35E-05,103284.7092,0.07032724,0,0,0,0,1
Q14671,17.97462218,6.122161922,26,2.09E-05,3680.966559,0.01944407,0,0,0,0,1
Q15717,15.48538634,5.465236271,123,2.42E-05,73888.3119,0.16425799,1,0,0,0,1
Q6P1W5,17.38377618,1.942395856,42,2.13E-05,26700.75913,0.01250788,0,0,0,0,1
Q8TB72,18.30949078,1.182654291,18,2.14E-05,12199.35032,0.01589938,0,0,1,0,0
Q92900,15.44877219,5.850712358,125,2.39E-05,67808.26292,0.15883741,1,0,0,0,1
Q99700,17.05185538,5.887080527,53,2.29E-05,24083.54271,0.05111421,0,0,1,0,0
Q9NZB2,16.9738406,6.072720264,55,2.27E-05,22530.42568,0.06878676,0,0,1,0,0
Q9Y6M1,17.36222978,5.857700826,42,2.22E-05,3766.525958,0.06850969,0,0,1,0,0
Q71RC2,18.22131009,5.855539847,20,2.19E-05,1613.420366,0.03580674,0,0,0,0,1
A0AVF1,18.33953631,4.038443943,17,1.80E-05,489.9391899,0.00120015,0,0,0,0,0
P08151,17.58291847,4.929474518,36,2.16E-05,15586.20676,0.0251347,0,0,0,0,1
P52790,18.42452693,1.659737174,15,1.91E-05,5634.239062,0.00222495,0,0,0,0,0
Q13099,18.1697568,4.038300683,21,1.95E-05,3051.65265,0.00417552,0,0,0,0,0
Q86VQ0,16.70492369,3.467829329,65,2.21E-05,37112.17155,0.03489266,0,0,1,0,0
Q86WT1,18.05981665,4.038345182,24,1.92E-05,1592.229991,0.00332895,0,0,0,0,0
Q8IY31,17.55772716,4.038431005,37,2.06E-05,13454.48948,0.00729803,0,0,1,0,0
Q8N4P2,17.34642824,4.038561897,43,2.05E-05,18535.01302,0.00888744,0,0,0,0,0
Q8WYA0,17.71822047,4.038404197,32,1.99E-05,6108.122583,0.00450704,0,0,1,0,0
Q96LB3,17.58816152,4.038329953,36,2.05E-05,11274.93004,0.00750652,0,0,0,0,0
Q9BW83,18.29186425,4.038299099,19,1.86E-05,603.7833497,0.00178977,0,0,0,0,0
Q9H7X7,18.17211323,4.038324156,21,1.87E-05,1241.689769,0.00201971,0,0,1,0,0
Q9NQC8,18.17172087,4.038391178,21,1.88E-05,1499.788345,0.00209416,0,0,1,0,0
Q9NWB7,17.11822633,4.038515738,50,2.07E-05,14975.1898,0.00844558,0,0,0,1,0
Q9P2H3,18.29308374,4.038396577,19,1.86E-05,506.4015521,0.00255984,0,0,0,0,0
Q9UG01,17.90434037,4.038339188,28,2.02E-05,9407.77694,0.00761412,0,0,0,0,0
Q9Y366,18.16916683,4.03840701,21,1.88E-05,2527.744147,0.00236843,0,0,1,0,0
Q9Y547,18.46368577,4.038198504,14,1.91E-05,1419.805033,0.0026799,0,0,0,0,0
P04439,16.83076837,2.588686382,60,2.26E-05,77118.16821,0.02509823,0,0,0,1,0
Q9BUN8,17.40194725,2.555991723,41,2.17E-05,20480.76701,0.01889974,0,0,0,1,0
A0AVK6,19.01644333,4.97382252,3,1.88E-05,174.8103709,0.00343002,0,0,0,0,1
P51957,11.92450656,5.706182305,520,2.62E-05,2100909.634,0.34818754,0,0,1,0,0
Q6PID6,18.28872166,4.115281124,19,2.08E-05,8544.0089,0.01263667,0,0,0,0,1
Q96AV8,18.83417614,4.97390911,7,1.93E-05,541.1406867,0.00364731,0,1,0,0,0
A0AVT1,17.35435975,3.72062115,42,2.08E-05,16920.96968,0.01207264,0,0,0,0,1
O14933,18.22336351,3.745026771,20,2.00E-05,4374.332946,0.00633547,0,0,1,0,0
O15198,16.90448096,2.877827715,58,2.20E-05,40279.54606,0.02244303,0,0,0,0,1
O15205,17.25143456,5.340165179,46,2.21E-05,10516.44902,0.05320183,0,1,0,0,0
O43865,17.09014854,1.041832856,51,2.24E-05,66887.51074,0.02720587,0,0,1,0,0
O60936,17.94045902,3.734789451,27,2.02E-05,5674.248334,0.0072829,0,0,0,0,1
O95221,18.83213054,3.017665734,7,1.65E-05,885.2784033,0.00024662,0,0,0,0,0
O95302,17.63149998,3.733327397,35,2.10E-05,14559.23722,0.01218017,0,0,0,0,1
O95747,17.76027736,4.554636139,31,2.17E-05,12859.58582,0.02362412,0,0,1,0,0
P06865,17.76204144,3.733556102,31,2.10E-05,5175.970508,0.01531888,0,0,0,0,1
P11216,17.77430492,3.720513618,31,2.14E-05,24855.43952,0.01796335,0,0,1,0,0
P15374,18.30502672,4.784846539,18,2.08E-05,3164.185217,0.01585013,1,0,0,0,1
P17812,17.50727751,5.547931002,38,2.29E-05,16258.12934,0.07073495,0,0,1,0,0
P25791,16.03719095,3.221122361,92,2.17E-05,87733.38277,0.02594229,0,1,0,0,0
P38919,14.98867421,0.448752532,159,2.39E-05,56032.09947,0.21797646,1,1,0,0,0
P42331,18.27764537,3.379309333,19,1.96E-05,2366.2277,0.00449786,0,0,0,0,1
P43353,18.21719075,3.108763971,20,2.00E-05,6914.506652,0.00401881,0,0,0,0,0
P46926,17.99420767,3.738037223,26,2.02E-05,22214.56827,0.00892594,0,0,0,1,0
P51114,16.3709546,5.093158643,78,2.33E-05,39973.94044,0.07326359,0,0,1,0,0
P53609,18.62914311,3.224123791,11,1.91E-05,793.738434,0.00232235,0,0,0,0,1
P54725,16.88724407,3.787925664,58,2.22E-05,21370.76951,0.04250027,1,0,0,0,1
P54727,16.80771935,3.78774106,61,2.30E-05,28145.02112,0.04620616,0,0,0,0,1
P62837,15.95351689,3.83911681,95,2.24E-05,75770.67722,0.03306592,0,0,0,0,1
Q00341,17.05951308,3.722595829,52,2.34E-05,47220.81167,0.06515803,0,0,0,0,1
Q06787,16.28911466,4.770800019,81,2.32E-05,38932.55254,0.06781822,1,0,1,0,0
Q53GL0,17.45100164,5.731164766,40,2.13E-05,5325.379206,0.03352689,0,0,1,0,0
Q6IBS0,17.11711801,0.174835656,50,2.17E-05,14783.02491,0.02838881,0,0,0,1,0
Q71UI9,17.91019624,3.733463753,28,2.28E-05,15906.79822,0.04724896,1,0,0,0,0
Q86UV5,17.34819616,0.585179949,43,2.22E-05,21401.62991,0.03501816,0,0,0,0,1
Q8N543,17.7681917,3.720511766,31,2.10E-05,4726.762813,0.01411548,0,0,0,0,1
Q8WUD1,17.87111929,2.053249643,29,2.07E-05,14755.36253,0.0062078,0,0,0,0,0
Q8WUM4,17.06536455,4.423128432,52,2.33E-05,38665.9253,0.04668308,0,0,0,0,1
Q8WVK2,15.72348045,0.396537112,109,2.24E-05,70657.39516,0.03587911,0,1,0,0,0
Q8WY64,18.51393354,3.538998428,13,1.96E-05,2821.097663,0.00339664,0,0,0,0,0
Q96Q11,18.36044244,3.721211299,17,1.97E-05,1161.257133,0.00461262,1,0,1,0,0
Q96QD9,17.17530086,6.061150578,48,2.24E-05,21121.80798,0.04263541,0,1,0,0,0
Q9H4M9,17.17582431,2.954721842,48,2.22E-05,31639.53281,0.0265209,0,0,0,1,0
Q9H832,18.95728879,2.04362166,4,1.83E-05,85.70008669,0.00177648,1,0,0,0,1
Q9NQW7,17.64279518,3.733536482,34,2.12E-05,6992.777246,0.01440814,0,0,1,0,0
Q9UGP4,17.47037003,3.217522252,39,2.12E-05,35421.87674,0.01374027,0,0,0,0,1
Q9Y5Y2,18.27870548,3.733098274,19,2.08E-05,5260.318318,0.00755346,0,0,0,0,1
Q9Y6Q1,18.47466449,0.272793776,14,2.01E-05,16932.24499,0.00816283,0,0,0,0,1
A0FGR8,18.31051817,2.880420498,18,2.24E-05,12178.59706,0.02136395,0,0,0,0,1
P01111,14.71005812,2.930475441,180,2.38E-05,212596.261,0.04789982,1,0,0,0,1
P01116,12.71654571,2.954581727,415,2.51E-05,1011171.67,0.11394137,1,0,1,0,0
P02751,12.304906,5.627622011,471,2.67E-05,1237545.216,0.35230007,0,0,0,0,0
P03372,9.490095119,5.516226223,1857,3.04E-05,11274741.65,1,1,0,0,0,1
P13569,12.47937327,5.66044654,449,2.65E-05,1013512.059,0.3436414,1,0,0,0,0
P62745,13.28468356,3.044502637,308,2.41E-05,474603.7566,0.08050141,0,0,0,0,0
Q00765,16.46897684,2.128460259,74,2.14E-05,85332.32105,0.01104075,0,0,0,1,0
Q13286,17.46448008,2.311099817,39,2.08E-05,5029.427534,0.01696837,0,0,0,0,0
Q14653,16.98084001,4.652667427,55,2.18E-05,33219.90236,0.02485702,1,0,1,0,0
Q8IWL3,11.12404224,1.857698687,681,2.59E-05,2579368.033,0.14468474,0,0,0,0,1
Q8TD08,18.4775722,3.206613979,14,2.03E-05,2860.471458,0.01054793,0,0,0,0,1
Q96RR4,17.92281107,3.88815366,27,2.08E-05,5565.3634,0.01564793,0,0,1,0,0
Q99442,17.25579697,2.155101196,46,2.09E-05,24376.11854,0.00794864,0,0,0,0,1
Q9BSJ8,18.0639707,2.883449208,24,2.26E-05,38395.48275,0.02971151,0,0,0,1,0
Q9H1X3,18.64082968,6.096643483,11,1.93E-05,468.9385111,0.00403763,0,0,0,0,1
Q9UMX0,15.73652425,2.880385764,108,2.36E-05,270867.4757,0.04701276,0,0,0,0,1
A0JLT2,17.07002157,5.037295367,52,2.18E-05,3494.322237,0.0291693,0,1,0,0,0
O00472,18.17856535,1.204436006,21,1.99E-05,1956.494342,0.00668859,0,1,0,0,0
O15514,17.30489243,5.038736538,44,2.18E-05,7586.497791,0.02696991,0,1,0,0,0
O43513,17.38590588,5.025499432,42,2.17E-05,19916.73556,0.02291021,0,1,0,0,0
O60244,17.02610654,5.024922046,53,2.25E-05,11132.97753,0.03985425,0,1,0,0,0
O60885,12.90866957,5.432666427,391,2.56E-05,348871.3274,0.3805789,1,1,0,0,0
O75448,16.82634792,5.024764534,60,2.24E-05,9588.17476,0.03900143,0,0,0,0,0
O75586,17.21684922,5.025123532,47,2.20E-05,4429.509498,0.03561915,0,1,0,0,0
O95071,16.11597822,5.171846742,87,2.37E-05,55130.07806,0.0762485,1,0,0,0,1
O95402,16.45417116,5.037790295,74,2.07E-05,7251.925191,0.02671143,0,0,0,0,1
P19387,16.02425793,5.042859878,92,2.35E-05,54808.6235,0.06887176,0,0,0,0,1
P19388,15.8661315,4.992361339,100,2.36E-05,77229.39298,0.07173511,0,1,0,0,0
P24863,17.27496183,5.025356774,45,2.19E-05,10346.79008,0.0267984,0,0,0,0,1
P24928,14.62978551,5.057865464,188,2.44E-05,166874.9479,0.14460749,1,0,0,0,1
P30876,16.45203833,5.0392691,75,2.35E-05,24471.82459,0.08014573,0,1,0,0,0
P36954,17.512925,5.039760103,38,2.18E-05,4156.622152,0.02739854,0,1,0,0,0
P49336,16.32603613,5.028411278,79,2.25E-05,20387.70317,0.04336096,0,1,0,0,0
P52434,16.88863384,5.039127106,58,2.22E-05,13852.5112,0.03646859,0,1,0,0,0
P52435,16.56983422,5.038691452,70,2.13E-05,28318.48344,0.02865086,0,1,0,0,0
P53803,18.22708639,5.039297382,20,1.89E-05,64.56209754,0.00756642,0,1,0,0,0
P61218,16.52513753,5.000650394,72,2.06E-05,11885.56422,0.02008615,0,1,0,0,0
P62487,16.61355673,5.039301514,68,2.11E-05,21982.42563,0.02362458,0,1,0,0,0
P62875,16.6126458,5.038879231,68,2.13E-05,15591.88734,0.02472675,0,1,0,0,0
Q13148,16.22309185,5.464380271,83,2.38E-05,36313.73978,0.13107683,1,1,0,0,0
Q13503,15.83720566,4.182124603,101,2.31E-05,68946.66173,0.04820056,0,0,0,0,1
Q15528,17.46919477,5.025270649,39,2.03E-05,1761.734148,0.01476238,0,1,0,0,0
Q15648,16.32965548,5.027599314,79,2.29E-05,19889.75428,0.05704959,0,1,0,0,0
Q6P2C8,17.64378581,5.025409191,34,2.16E-05,1663.815876,0.02253324,0,0,0,0,1
Q71F56,17.82248277,5.02614321,30,2.01E-05,2143.180641,0.01129652,0,0,0,0,1
Q71SY5,17.62243988,5.024950216,35,2.16E-05,1995.178937,0.02416927,0,1,0,0,0
Q86YW9,18.17914988,5.028635384,21,2.03E-05,1421.261593,0.0107594,0,1,0,0,0
Q8IXW5,16.58493084,5.038486954,69,2.15E-05,11537.19234,0.03297768,0,0,0,0,1
Q93074,16.76705876,5.024624738,63,2.27E-05,21902.22725,0.04265537,0,1,0,0,0
Q96G25,17.4433909,5.025234401,40,2.20E-05,3663.584916,0.02808261,0,0,0,0,1
Q96HR3,17.70711822,5.025350674,33,2.01E-05,2639.547203,0.01382108,0,1,0,0,0
Q96JH8,18.09871575,3.565611314,23,2.11E-05,8874.734997,0.0114133,0,1,0,0,0
Q96RN5,17.18934009,5.025579271,48,2.23E-05,9404.507701,0.03139825,0,1,0,0,0
Q9BTT4,17.07984737,5.036183303,52,2.18E-05,3900.932746,0.02724615,0,1,0,0,0
Q9BUE0,17.34377057,5.025289924,43,1.99E-05,2033.972434,0.01202073,0,1,0,0,0
Q9BWU1,17.34332695,5.0253233,43,1.99E-05,7913.785314,0.01034691,0,0,0,0,1
Q9H204,16.48046027,5.037694891,74,2.15E-05,22870.89562,0.02783145,0,1,0,0,0
Q9H944,17.37693096,5.025393226,42,2.18E-05,3696.69009,0.02613698,0,0,0,0,0
Q9NPJ6,16.12926868,1.749708622,87,2.28E-05,69030.56848,0.03742783,0,1,0,0,0
Q9NVC6,16.80017115,5.030096723,61,2.24E-05,10220.31553,0.04037084,0,0,0,0,1
Q9NWA0,17.23280599,5.036004027,46,2.02E-05,2498.004918,0.01649519,0,0,0,0,1
Q9NX70,17.12264759,5.036236963,50,2.03E-05,2089.854256,0.01805559,0,1,0,0,0
Q9P086,17.76292234,5.025397275,31,1.98E-05,275.0627316,0.01225734,0,1,0,0,0
Q9UHB7,17.5853686,1.205398406,36,2.23E-05,15661.5061,0.02658068,1,1,0,0,0
Q9UHV7,17.41938718,5.025225788,41,2.16E-05,2102.668223,0.0249579,0,1,0,0,0
Q9ULK4,17.02246119,5.024371752,53,2.21E-05,9733.3808,0.03592009,1,0,0,0,1
Q9Y2X0,17.2218627,5.025481992,47,2.20E-05,3997.241362,0.03037359,0,1,0,0,0
Q9Y3C7,17.62142819,5.026444403,35,2.08E-05,4926.57361,0.0146719,0,1,0,0,0
A0MZ66,18.13699176,1.727865136,22,2.04E-05,4946.974204,0.00630205,0,0,0,0,1
O60831,18.28749691,2.53985085,19,2.04E-05,7815.924314,0.00391202,0,0,0,1,0
O75915,17.43653258,2.539842975,40,2.16E-05,30472.53174,0.01157174,0,0,0,1,0
P05413,18.93041744,2.505907403,5,1.86E-05,227.0679353,0.00163121,0,0,0,0,1
P06276,17.8532868,2.630890236,29,2.03E-05,8833.087499,0.00694459,0,0,0,0,0
P09493,16.8129699,0.081817033,61,2.30E-05,65619.68321,0.04059887,0,0,1,0,0
P14625,15.14710429,4.881243797,147,2.52E-05,370845.5137,0.14597242,0,0,0,1,0
P49327,16.83370468,4.559519714,60,2.40E-05,36980.31243,0.10055262,1,0,0,0,1
P56539,17.37521242,3.095460587,42,2.14E-05,33705.34608,0.01135256,0,0,0,1,0
P62508,18.39708456,4.851653402,16,1.97E-05,1281.630369,0.00550564,0,1,0,0,0
P67936,17.4369373,0.082108444,40,2.23E-05,9170.332548,0.04087379,0,0,1,0,0
Q01518,17.58396925,5.336147031,36,2.22E-05,9071.678071,0.03837187,0,0,1,0,0
Q8IV03,18.75328057,3.127293507,8,1.89E-05,188.665104,0.00190312,0,1,0,0,0
Q8TBB1,15.62474774,2.045572892,113,2.26E-05,171328.8424,0.02943501,0,0,0,0,1
Q96CX2,18.28504298,4.047851208,19,2.14E-05,3314.448784,0.02074972,0,0,1,0,0
Q96EB6,15.38057063,4.853646812,130,2.40E-05,141405.5663,0.10493066,0,0,0,0,1
Q96KS9,17.18882357,1.679124482,48,2.10E-05,22744.96714,0.01058562,0,0,1,0,0
Q9GZM8,16.35698335,1.780927827,78,2.19E-05,109992.5643,0.01978227,0,0,0,0,0
Q9H4P4,16.95969532,4.170384508,56,2.13E-05,48629.24214,0.01356122,0,0,0,0,1
Q9NP64,17.61771002,1.202057066,35,2.09E-05,8416.977829,0.02006036,0,0,0,0,0
Q9NZT2,18.43502702,4.487915075,15,2.14E-05,5995.192349,0.01474439,0,1,0,0,0
Q9UJA5,18.29967841,3.66145687,18,2.10E-05,3826.349103,0.01685461,0,0,0,0,1
Q9Y5B8,17.47271647,1.726953922,39,2.10E-05,27274.61621,0.00975788,0,1,0,0,0
A0PJW6,17.82109792,1.899741228,30,2.02E-05,14769.40308,0.00352502,0,0,0,0,1
O00322,16.39042377,1.472090501,77,2.04E-05,85879.50089,0.00644752,0,0,0,0,0
O00560,15.17377223,2.427122915,146,2.41E-05,335438.6946,0.05314492,0,0,0,0,1
O14763,17.24656534,2.210326389,46,2.20E-05,33337.8625,0.02039065,0,0,0,0,0
P08473,16.04039863,4.788379838,91,2.25E-05,155822.3542,0.04942495,0,0,0,0,0
P10321,16.70741708,2.660445947,65,2.20E-05,92196.60996,0.01717812,0,0,0,0,0
P22460,17.64642277,2.999333907,34,2.03E-05,13272.72992,0.00481402,0,0,0,0,0
P23468,17.4300351,3.572998055,40,2.11E-05,60859.46446,0.0103598,0,0,0,0,1
P30825,16.89555431,2.204977874,58,2.08E-05,55342.34709,0.00672554,0,0,0,0,0
P32297,17.91247851,2.003323337,28,1.88E-05,13115.15521,0.00114671,0,0,0,0,1
P32929,18.02323592,3.566893557,25,1.99E-05,11083.35861,0.00290104,0,0,0,0,0
P35670,18.47902294,2.396504543,14,1.95E-05,3915.873563,0.00195126,0,0,0,1,0
P48960,17.186237,1.899761654,48,2.04E-05,37098.83547,0.00500894,0,0,1,0,0
Q13061,17.58151573,2.149108704,36,2.06E-05,21267.63442,0.00839536,0,0,0,0,1
Q15116,17.10147301,3.089133565,51,2.06E-05,35917.82222,0.00627424,0,0,0,0,0
Q53GT1,17.20928227,0.028227564,47,2.19E-05,29746.0292,0.03288679,0,0,0,0,1
Q6ZMH5,17.27591064,1.274972047,45,1.95E-05,20933.26912,0.00205389,0,0,0,0,1
Q86UE6,17.46526738,2.435727631,39,1.95E-05,13644.23631,0.00225062,0,0,0,1,0
Q8NFQ8,16.94862828,5.973910437,56,2.20E-05,48662.15994,0.0321328,0,0,0,1,0
Q8WXA8,17.13579698,2.652285098,50,1.93E-05,19688.92299,0.0017512,0,0,0,0,0
Q92633,15.57786374,1.898006837,116,2.13E-05,113885.1379,0.00830334,0,0,0,0,0
Q9GZM5,15.89794772,2.112998059,98,2.12E-05,108520.4393,0.01058843,0,0,0,0,1
Q9H496,16.94469328,5.876613725,56,2.20E-05,48662.15994,0.0321328,0,0,0,1,0
Q9H8X2,15.89610352,1.89787284,98,2.10E-05,85827.92506,0.0069477,0,0,1,0,0
Q9UN74,17.9871721,2.44981661,26,2.07E-05,35509.9374,0.00811802,0,0,0,0,1
Q9Y282,16.90379707,2.516789563,58,2.06E-05,50038.0551,0.00534271,0,0,0,0,0
Q9Y5I4,17.64675191,2.910860264,34,2.00E-05,11408.71811,0.00506541,0,0,0,0,1
Q5BVD1,18.64305227,2.471842858,10,1.90E-05,1572.691995,0.00128668,0,0,0,0,0
P42898,18.2282006,2.894092716,20,1.95E-05,6713.697836,0.00269747,1,0,0,1,0
Q9P2N5,18.10187354,0.684530375,23,2.21E-05,5898.255192,0.02457873,0,1,0,0,0
P54707,17.07407901,3.250988114,52,2.05E-05,59789.18892,0.00426738,0,0,0,0,1
P0CG47,15.09969201,3.814417599,151,2.39E-05,309512.0414,0.06683916,0,0,0,0,0
A0PJX2,18.93459095,2.26499379,5,1.78E-05,90.60814779,0.00100725,0,0,0,0,0
P21281,17.00527433,2.264900796,54,2.29E-05,26148.85274,0.042901,0,0,0,1,0
P21283,17.45776323,3.589307594,40,2.20E-05,15246.24101,0.0195438,0,0,0,0,1
P36543,18.22690057,2.265101723,20,1.97E-05,2575.168085,0.00443527,0,0,0,0,0
Q96M94,17.41815136,0.751278571,41,2.16E-05,51434.73375,0.0306565,0,0,1,0,0
Q9Y5K8,17.73344157,2.264989256,32,2.08E-05,11243.99965,0.00949358,0,0,0,0,1
A1A4S6,18.7235261,6.203314459,9,2.15E-05,4321.876483,0.01554268,0,0,0,0,1
P46013,12.62820928,5.894732201,440,2.54E-05,701888.2272,0.28785769,0,0,0,0,1
P61586,14.49238312,3.043974593,196,2.46E-05,296983.2241,0.10410173,0,0,0,0,1
Q02539,14.34199714,0.596208074,206,2.34E-05,415889.7669,0.12648158,0,1,0,0,0
Q05209,16.54870288,4.378860977,71,2.27E-05,28465.82928,0.04706513,0,0,0,0,1
Q6P5Z2,17.41773909,4.153155987,41,2.17E-05,18180.02014,0.01970573,0,0,0,1,0
Q9C009,15.85080701,0.837507952,101,2.22E-05,26135.00264,0.05637927,0,1,0,0,0
Q9UNA1,17.58116475,6.203295592,36,2.04E-05,21991.37985,0.00902422,0,0,1,0,0
Q9Y426,18.89630081,6.203310035,5,1.75E-05,379.5071384,0.0009411,0,1,0,0,0
O95969,18.72988692,4.841822853,9,1.81E-05,18259.38859,0.00126189,0,0,0,0,0
A1A519,18.53431783,1.356739647,13,2.00E-05,2200.565135,0.00518097,0,0,0,0,0
O14777,16.76313744,1.747351962,63,2.22E-05,35031.68809,0.02723433,1,0,0,0,1
O95292,15.52870932,1.704798751,119,2.25E-05,128898.406,0.0299593,1,0,0,1,0
P14373,15.00212114,0.674362503,157,2.41E-05,225698.6678,0.07183995,0,1,0,0,0
P48729,15.77259677,4.130969524,106,2.41E-05,137489.7864,0.09866391,0,0,1,0,0
Q8N108,18.32782651,1.368767048,18,2.05E-05,1649.494048,0.01336773,0,1,0,0,0
Q8NBT2,17.92004923,1.355249335,28,2.02E-05,4233.724479,0.00507252,0,1,0,0,0
Q93009,14.19540374,4.805065809,218,2.53E-05,330361.5267,0.17622146,1,1,0,0,0
Q96DF8,17.91627093,6.253151803,28,2.10E-05,8473.885383,0.01841096,0,1,0,0,0
Q9HBM1,17.88214023,1.355252268,28,2.03E-05,2892.169005,0.00651203,0,0,1,0,0
Q9P0L0,14.33342976,2.196239147,206,2.45E-05,399079.6842,0.07951034,0,0,0,1,0
Q8N752,18.68485601,1.802737835,10,2.04E-05,1230.65507,0.00745342,0,0,1,0,0
Q2KHR3,18.34963158,5.971285996,17,2.09E-05,3660.271813,0.01382374,0,0,0,0,1
Q9NW07,18.96656857,2.080109217,4,1.81E-05,119.9706517,0.00245732,0,1,0,0,0
A1A5C7,18.67641702,3.103897021,10,1.87E-05,1831.118815,0.00142686,0,0,0,0,1
O00214,15.81345654,2.408742043,103,2.32E-05,232110.763,0.03067352,1,0,0,1,0
P12644,18.35029007,3.152727065,17,1.90E-05,16987.50188,0.00163945,0,0,0,0,0
P61421,16.76156466,2.264601724,63,2.28E-05,78209.33345,0.02852949,0,0,0,0,0
Q6UY11,17.83868283,2.887534138,29,2.03E-05,11975.7611,0.00410432,0,0,0,0,1
Q86VP1,16.95710215,3.850132053,56,2.19E-05,50890.30942,0.0224727,0,0,0,0,1
Q8IXJ6,17.46132474,4.837483809,40,2.14E-05,29383.3764,0.01862866,0,0,0,0,1
Q9BVC3,18.40069273,5.360101922,16,1.89E-05,1676.371984,0.00437197,0,1,0,0,0
Q9UHP7,16.36863937,1.319818538,78,2.10E-05,88383.03118,0.00933342,0,0,0,1,0
Q9Y5B6,18.28714671,6.258547799,19,2.15E-05,2561.927605,0.0229139,0,0,0,0,1
Q5T749,18.13108629,3.103871587,22,2.04E-05,11582.92199,0.00894946,0,0,0,0,0
Q6P597,17.27875177,3.35290381,45,2.17E-05,32468.49769,0.02724854,0,0,0,0,1
A1E959,19.14859775,4.442876552,2,1.79E-05,16.52460744,0.00074703,0,0,0,0,1
Q14192,15.7080478,4.817153827,109,2.37E-05,168129.8909,0.05916686,0,0,1,0,0
Q9Y2I1,18.11191297,4.442907463,23,2.19E-05,14192.67776,0.02021233,0,0,0,0,1
A1L020,19.14612094,3.377837718,2,1.83E-05,6.85636817,0.00231313,0,0,1,0,0
P11940,15.05419555,5.494299265,154,2.48E-05,121579.9475,0.22417065,1,0,1,0,0
Q9BS26,16.7015896,3.377469511,65,2.21E-05,47867.4019,0.02162175,1,0,0,0,0
A1L0T0,17.88422596,6.160025826,28,2.29E-05,16237.19981,0.0319984,0,0,0,1,0
O75170,17.33396583,0.205753213,43,2.12E-05,12017.92534,0.01422995,0,0,1,0,0
P00533,11.82774496,4.393864931,543,2.74E-05,1975651.766,0.31272081,1,0,0,0,1
P01106,10.89750056,5.45772771,757,2.75E-05,1852362.001,0.54114444,1,1,0,0,0
P16444,16.99781852,3.073283257,54,2.05E-05,56016.66691,0.00659397,0,0,0,0,1
P34972,16.21907114,2.56193394,83,2.21E-05,50276.38096,0.03196633,0,0,0,0,0
P52732,16.05470905,0.380675647,91,2.25E-05,57630.55697,0.06215994,1,0,1,0,0
