cooperative	common	V1	V2	degree_common	degree_V1	degree_V2	score_competitive	score_cooperative	paralog	quantile	thetad_V1_V2
0	Q9NX38	Q9Y6X8	Q7L7X3	7	9	10	0.41	0.59	no	1	1.416969424
0	Q92752	O14594	P16112	3	5	5	0.412	0.588	no	1	1.507642815
0	P21452	P20366	Q9UHF0	2	7	3	0.412	0.588	no	1	0.253051482
0	Q9BW62	Q9H079	Q14061	8	6	6	0.412	0.588	no	1	1.373487343
0	Q8NA54	Q9Y2C9	P60329	8	3	8	0.412	0.588	no	1	1.207069152
0	O43914	P26717	Q9NP99	9	5	2	0.414	0.586	no	1	0.759725591
0	Q05469	Q00G26	Q0Z7S8	8	6	1	0.414	0.586	no	1	1.093701854
0	P30273	Q08708	Q9HCN6	4	4	8	0.414	0.586	no	1	1.612812375
0	Q9GZU5	O95372	Q2M3G4	10	8	7	0.414	0.586	no	1	0.268134185
0	Q8N4V2	Q96RJ0	Q9H0Q3	5	4	6	0.414	0.586	no	1	0.334196489
0	Q9H106	Q8TCD5	Q53FT3	5	6	7	0.414	0.586	no	1	0.29515698
0	P09681	P48546	O60241	7	2	2	0.416	0.584	yes	1	1.6839442
0	Q96F85	Q96H35	Q8NBC4	9	6	1	0.416	0.584	no	1	0.370386586
0	Q9GZU5	Q2M3G4	Q10472	10	7	3	0.416	0.584	no	1	1.377129569
0	P04070	Q9UF33	P07225	10	4	9	0.416	0.584	no	1	0.860918722
0	P80404	P07306	Q6PIY5	5	4	1	0.416	0.584	no	1	0.280225717
0	O43914	P26717	O95944	9	5	3	0.418	0.582	no	1	3.326388261
0	P06681	P08174	P0C0L5	3	5	3	0.418	0.582	no	1	1.152924434
0	O95825	Q9HCM2	Q8N1V2	9	3	6	0.418	0.582	no	1	2.113722046
0	P43681	P17787	P62760	3	3	10	0.418	0.582	no	1	2.110275002
0	Q96GW7	Q6PHR2	P03956	8	6	5	0.42	0.58	no	1	1.616401608
0	Q15835	P08100	P35243	4	5	8	0.42	0.58	no	1	1.759652716
0	O00204	Q96Q35	O43704	8	3	3	0.422	0.578	no	1	1.444005021
0	Q9P218	P48201	Q9BVM4	8	6	2	0.422	0.578	no	1	1.326802646
0	O14633	Q5T754	Q96NT3	5	2	5	0.422	0.578	no	1	1.536956278
0	O14633	Q5TA81	Q96NT3	5	4	5	0.422	0.578	no	1	1.619212414
0	P30039	Q5SXH7	O15232	7	3	8	0.422	0.578	no	1	1.867950053
0	P04628	Q9H461	Q8N474	4	6	6	0.422	0.578	yes	1	1.128774312
0	Q969L2	Q99259	Q16890	9	6	8	0.422	0.578	no	1	1.35350752
0	P08174	P06681	Q9UHX3	5	3	3	0.424	0.576	no	1	1.95103852
0	Q6UXZ3	P04155	A8K4G0	3	8	5	0.426	0.574	no	1	0.408530883
0	P30542	P21728	P08588	9	7	8	0.426	0.574	no	1	4.013174989
0	P60369	P07510	Q8N393	9	8	9	0.426	0.574	no	1	0.299614985
0	Q9NZB8	Q9H0T7	P10746	10	7	7	0.426	0.574	no	1	0.89633017
0	P30536	O95153	P29762	5	7	2	0.426	0.574	no	1	1.512509645
0	Q9H106	Q53FT3	Q96HU8	5	7	5	0.426	0.574	no	1	0.41127289
0	Q07108	A6NDB9	Q9NZG7	8	5	1	0.428	0.572	no	1	0.638829524
0	P54284	Q08289	Q6FI81	10	3	9	0.428	0.572	no	1	1.472126034
0	Q99999	Q00888	Q7Z7B1	7	4	9	0.428	0.572	no	1	1.079209742
0	Q6ZPD9	Q9UBN1	Q9BXY4	7	8	4	0.428	0.572	no	1	0.722410551
0	Q92686	P53370	Q9BVG3	9	10	6	0.428	0.572	no	1	3.222274851
0	Q96FZ7	Q0D2K3	Q9H0T7	10	10	7	0.428	0.572	no	1	1.351420499
0	P21941	P20849	O00339	6	7	7	0.43	0.57	no	1	1.529689771
0	Q86UF1	Q5EBL8	P08172	7	8	8	0.43	0.57	no	1	1.408422286
0	P50213	O43837	Q6EEV6	10	10	7	0.43	0.57	no	1	2.92216501
0	Q6ZPD9	Q9BXY4	P13671	7	4	4	0.43	0.57	no	1	1.456439089
0	Q3I5F7	O95670	P52943	2	7	6	0.43	0.57	no	1	1.316327464
0	Q8TCW7	Q9UJJ9	P31997	10	5	3	0.43	0.57	no	1	3.345434298
0	Q8N392	Q70Z35	Q7Z6J4	4	5	4	0.43	0.57	no	1	1.542171317
0	P50747	Q5T0L3	Q86XM0	9	9	1	0.432	0.568	no	1	1.895636983
0	P08588	P30542	Q86UL8	8	9	10	0.432	0.568	no	1	2.264068132
0	Q16602	O60895	O60894	7	2	2	0.432	0.568	yes	1	2.519706787
0	P42330	P51857	P52895	6	8	7	0.432	0.568	yes	1	3.003277678
0	P52757	P15882	P41222	7	10	7	0.432	0.568	no	1	0.566112004
0	O00230	P02144	P32745	6	2	3	0.434	0.566	no	1	1.261294883
0	P04155	Q6UXZ3	Q96PJ5	8	3	5	0.434	0.566	no	1	1.034401821
0	P15882	P52757	Q9Y5R4	10	7	5	0.436	0.564	no	1	4.152062957
0	Q9H903	Q9BSH5	Q5T8I9	6	3	8	0.436	0.564	no	1	1.715950172
0	P04155	Q96PJ5	O00481	8	5	4	0.438	0.562	no	1	0.51848978
0	O14788	O00300	P05496	8	3	8	0.438	0.562	no	1	1.704579663
0	O75783	P26012	Q86UL8	4	10	10	0.438	0.562	no	1	2.386960021
0	Q8IXA5	Q9Y680	P21754	6	9	7	0.438	0.562	no	1	0.840706131
0	P35346	P21554	O00230	7	7	6	0.44	0.56	no	1	1.961163917
0	Q9NX02	Q9P021	P59047	9	8	7	0.44	0.56	no	1	1.592453076
0	O95190	P11926	O14977	4	7	9	0.44	0.56	yes	1	1.303511308
0	P30039	Q52MB2	Q5SXH7	7	8	3	0.44	0.56	no	1	1.181085356
0	P21728	Q6Y2X3	Q9NYX4	7	4	4	0.44	0.56	no	1	1.743103951
0	Q16602	O60895	P01258	7	2	1	0.44	0.56	no	1	2.519835459
1	Q16602	O60895	P35318	7	2	1	0.44	0.56	no	1	2.519780839
0	Q53FT3	P35243	Q9H106	7	8	5	0.44	0.56	no	1	0.595803626
0	Q00G26	Q05469	O14682	6	8	8	0.442	0.558	no	1	2.518925942
0	P09758	O95471	Q9UNU6	5	5	5	0.442	0.558	no	1	0.92378782
0	Q9NNX6	P28222	Q9H2X3	6	9	6	0.442	0.558	no	1	0.975641139
0	Q9BW62	P26885	Q9UC07	8	10	2	0.442	0.558	no	1	1.068699139
0	Q92874	Q9NTI7	Q9BQT8	10	4	3	0.444	0.556	no	1	0.217404389
0	P11215	P24158	Q9BX67	10	3	8	0.444	0.556	no	1	0.259650175
0	P50747	Q5T0L3	O00763	9	9	6	0.446	0.554	no	1	1.895653229
0	Q9NTJ4	O43247	Q86Y33	7	5	10	0.446	0.554	no	1	1.151660794
0	Q86UF1	Q5EBL8	Q9BVX2	7	8	4	0.446	0.554	no	1	1.408192352
